Date,HomeTeam,HomeScore,AwayScore,AwayTeam
2024-05-12,Atletico Tucuman,1,0,Boca Juniors
2024-07-29,Tigre,2,1,Deportivo Riestra
2024-08-03,Velez Sarsfield,3,0,Defensa Y Justicia
2024-08-25,Lanus,,,Godoy Cruz
2024-12-01,Atletico Tucuman,,,Newells Old Boys
2024-12-08,Independiente,,,Atletico Tucuman
2024-03-25,Chacarita Juniors,1,0,San Martin Tucuman
2024-04-07,San Martin Tucuman,3,0,Arsenal Sarandi
2024-04-14,San Martin S.J.,0,0,San Martin Tucuman
2024-04-14,Gimnasia Y Tiro,1,0,Atletico Mitre
2024-04-21,Arsenal Sarandi,0,0,San Martin S.J.
2024-04-21,Atletico Mitre,0,1,Gimnasia M.
2024-04-28,Gimnasia M.,0,0,Gimnasia Y Tiro
2024-05-04,San Martin S.J.,1,0,Guillermo Brown
2024-05-12,Nueva Chicago,2,1,Gimnasia M.
2024-05-19,Gimnasia M.,2,1,Deportivo Moron
2024-08-11,San Martin Tucuman,1,0,Chacarita Juniors
2024-08-24,Arsenal Sarandi,,,San Martin Tucuman
2024-08-31,San Martin Tucuman,,,San Martin S.J.
2024-08-31,Atletico Mitre,,,Gimnasia Y Tiro
2024-09-07,San Martin S.J.,,,Arsenal Sarandi
2024-09-07,Gimnasia M.,,,Atletico Mitre
2024-09-14,Gimnasia Y Tiro,,,Gimnasia M.
2024-09-21,Guillermo Brown,,,San Martin S.J.
2024-09-28,Gimnasia M.,,,Nueva Chicago
2024-10-05,Deportivo Moron,,,Gimnasia M.
2024-09-08,Huracan Las Heras,,,Deportivo Rincon
2024-08-25,Hobro,,,Odense
2024-09-15,AC Horsens,,,Odense
2024-09-29,AC Horsens,,,Hobro
2024-11-10,Odense,,,AC Horsens
2025-03-02,Odense,,,Hobro
2025-03-09,Hobro,,,AC Horsens
2024-08-21,Nieciecza,,,Wisla Plock
2025-03-08,Wisla Plock,,,Nieciecza
2024-09-29,FC Zurich,,,FC Sion
2024-10-27,FC Sion,,,FC ST. Gallen
2024-10-30,FC Sion,,,FC Zurich
2024-11-02,FC ST. Gallen,,,FC Sion
2024-10-05,Botev Plovdiv,,,Levski Sofia
2024-10-26,Levski Sofia,,,Beroe
2025-03-29,Levski Sofia,,,Botev Plovdiv
2025-04-05,Beroe,,,Levski Sofia
2024-08-24,Mura,,,Radomlje
2024-11-09,Radomlje,,,Mura
2025-03-08,Mura,,,Radomlje
2025-05-03,Radomlje,,,Mura
2024-09-07,Torpedo Moskva,,,Arsenal Tula
2025-03-29,Arsenal Tula,,,Torpedo Moskva
2024-05-12,Fortaleza EC,1,1,Botafogo
2024-06-27,Fluminense,0,1,Vitoria
2024-06-30,Fortaleza EC,2,1,Juventude
2024-07-11,Flamengo,1,2,Fortaleza EC
2024-07-17,Fluminense,,,Atletico Paranaense
2024-09-01,Botafogo,,,Fortaleza EC
2024-10-26,Vitoria,,,Fluminense
2024-11-06,Juventude,,,Fortaleza EC
2024-11-24,Fortaleza EC,,,Flamengo
2024-12-01,Atletico Paranaense,,,Fluminense
2024-08-31,Universitatea Craiova,,,Rapid
2025-01-25,Rapid,,,Universitatea Craiova
2024-08-24,FC Schweinfurt 05,,,Greuther Fürth II
2024-10-12,Schwaben Augsburg,,,Wacker Burghausen
2025-03-01,Greuther Fürth II,,,FC Schweinfurt 05
2025-04-25,Wacker Burghausen,,,Schwaben Augsburg
